1,0,0,15,21,0,25,0,0,8,0,0,12,4,16,0,0,0,19,20,2,0,0,7,0
0,0,0,0,24,0,4,11,0,0,18,0,0,0,3,17,0,6,0,0,20,0,0,0,0
23,0,0,0,0,19,0,0,2,17,9,10,0,25,0,0,0,12,0,0,22,18,0,0,0
0,12,25,17,0,0,6,0,0,0,20,0,7,0,22,0,8,0,0,1,16,0,0,3,0
0,0,18,0,20,0,0,14,24,0,19,1,11,0,0,2,4,3,0,23,25,8,0,0,0
20,17,14,0,0,0,0,0,8,0,21,23,0,6,11,0,18,0,0,12,4,0,7,5,0
6,0,8,22,15,0,0,0,20,0,0,0,0,5,13,10,14,0,17,7,11,25,0,18,0
21,0,0,0,0,0,0,0,18,14,12,0,0,0,17,0,0,0,20,0,0,0,0,2,0
9,0,12,0,23,0,0,1,22,0,0,0,14,0,0,0,2,16,0,8,0,0,0,10,3
10,0,1,18,0,0,9,17,0,0,0,16,19,20,0,0,0,0,5,0,0,21,0,12,23
0,0,0,25,13,7,16,20,0,23,11,21,0,0,0,3,12,0,18,0,1,17,0,0,6
0,0,20,5,17,4,0,0,0,0,0,0,3,0,10,23,9,0,0,19,13,15,2,21,0
0,0,0,0,0,0,0,0,0,0,5,0,20,0,8,0,0,0,0,0,0,0,0,0,0,0
0,21,23,9,4,18,0,0,6,24,1,0,13,0,0,0,0,0,0,22,5,14,16,0,0
19,0,0,2,1,0,21,0,5,25,0,0,0,9,14,13,0,11,24,4,23,3,0,0,0
25,18,0,20,0,0,11,0,0,0,0,5,6,3,0,0,0,14,16,0,0,2,13,0,22
17,19,0,0,0,24,0,6,4,0,0,0,2,0,0,0,13,1,0,0,21,0,3,0,18
0,1,0,0,0,0,18,0,0,0,15,0,0,0,21,6,20,0,0,0,0,0,0,0,4
0,23,0,21,5,22,2,0,13,20,16,19,0,0,0,0,11,0,0,0,10,1,6,0,8
0,6,3,0,22,8,0,0,1,0,10,13,0,11,25,0,17,0,0,0,0,0,5,19,15
0,0,0,6,25,11,0,13,12,3,0,0,15,21,4,0,22,9,0,0,7,0,8,0,0
0,14,0,0,12,21,0,0,9,0,17,0,22,0,19,0,0,0,3,0,0,4,15,13,0
0,0,0,1,16,0,0,24,0,0,0,11,0,13,6,15,19,0,0,5,0,0,0,0,20
0,0,0,0,19,0,0,25,0,18,8,0,0,0,2,0,0,10,4,0,6,0,0,0,0
0,8,0,0,2,17,15,0,0,0,7,12,10,0,0,20,0,0,25,0,19,16,0,0,21
